id,name,code,address,phone,email,manager_name,manager_phone,is_active,opening_date,notes,user_id,health_score,sales_performance,inventory_health,customer_satisfaction,last_health_update,created_at
1,بواببة سوق البدو التجاريه,7537599,جده البغداديه الشرقيه,0567537599,,,,t,,,1,0.00,0.00,0.00,0.00,2025-12-09 16:06:51.388564,2025-12-09 16:06:51.388564
2,بواببة سوق البدو التجاريه,3-1,جده البغداديه الشرقيه,0567537599,,,,t,,,3,0.00,0.00,0.00,0.00,2025-12-09 16:20:18.051455,2025-12-09 16:20:18.051455
